subject_id,cluster
10099,2
10103,1
10118,2
10168,1
10178,3
10191,4
10195,3
10201,1
10213,1
10232,1
10238,3
10266,1
10284,4
10303,4
10307,2
10322,1
10367,2
10380,2
10476,1
10483,2
10492,2
10513,4
10514,1
10527,2
10532,1
10544,3
10566,1
10578,1
10604,3
10616,1
10635,3
10646,2
10656,4
10660,1
10665,4
10714,1
10715,2
10725,1
10754,1
10761,3
10765,4
10813,4
10839,1
10847,4
11831,3
11899,3
11920,2
11922,1
11940,4
11957,3
12014,2
